C([H])([H])([H])C(=O)N([H])C1([H])C([H])(C([H])([H])C(C(=O)O[H])(OC1([H])C([H])(C([H])(C([H])([H])O[H])C([H])([H])O[H])O[H])OC2([H])C([H])(C([H])(C([H])([H])O[H])OC([H])(C2([H])O[H])OC3([H])C([H])(C([H])([H])O[H])OC([H])(C([H])(C3([H])O[H])N([H])C(=O)C([H])([H])[H])O[H])O[H])O[H] AFC000281
C([H])([H])([H])C(=O)N([H])C1([H])C([H])(C([H])([H])C(C(=O)O[H])(OC1([H])C([H])(C([H])(C([H])([H])O[H])C([H])([H])O[H])O[H])OC2([H])C([H])(C([H])(C([H])([H])O[H])OC([H])(C2([H])O[H])OC3([H])C([H])(C([H])(O[H])OC([H])(C([H])([H])OC4(C([H])([H])C([H])(C([H])(C([H])(C([H])(C([H])(C([H])([H])O[H])O[H])O[H])O4)N([H])C(=O)C([H])([H])[H])O[H])C(=O)O[H])C3([H])O[H])N([H])C(=O)C([H])([H])[H])O[H])O[H] AFC000282
C1([H])=C(C([H])=C([H])C(=C1[H])C(=O)O[H])C(=O)O[H] AFC000283
C([H])([H])=C([H])C1=C([H])C([H])=C([H])C([H])=C1[H] AFC000284
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C([H])([H])C(=O)O1 AFC000285
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])(C([H])([H])C([H])([H])[H])C([H])([H])O[H] AFC000286
C([H])([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H] AFC000287
C([H])([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H] AFC000288
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H] AFC000289
C([H])([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)OC([H])([H])C([H])([H])[H] AFC000290
C1([H])=C([H])OC([H])=C([H])C1=O AFC000294
